150 500
133 110 73
122 52 30
30 16 41
48 51 21
9 83 55
35 78 11
94 95 55
86 138 51
114 129 37
22 1 63
34 122 73
116 142 33
61 81 7
70 143 34
107 51 61
103 122 1
72 55 79
121 65 21
105 29 81
88 75 49
138 85 18
92 37 38
91 124 26
22 25 76
79 13 73
121 75 37
73 27 38
146 105 41
42 140 55
26 13 66
117 3 95
70 134 29
69 83 44
117 148 78
88 57 10
143 81 91
126 116 49
66 129 83
69 4 34
114 147 69
30 113 91
150 4 56
77 75 56
114 118 43
100 113 40
136 46 66
1 73 36
1 63 90
80 35 64
80 69 100
105 55 79
21 122 2
83 142 20
10 7 75
8 42 96
29 91 71
102 104 79
69 123 85
24 131 26
114 28 80
55 107 46
1 6 26
106 142 92
41 79 9
119 77 57
66 108 5
141 94 37
120 99 15
19 71 58
150 93 83
61 46 7
44 16 78
10 8 7
132 62 25
84 71 39
114 133 86
16 115 87
138 22 79
87 67 33
140 111 12
35 60 32
12 2 16
28 150 91
91 73 21
39 117 35
87 48 13
94 19 57
108 43 91
144 143 96
113 85 42
10 141 70
7 26 17
90 73 74
64 124 100
20 123 49
96 66 27
140 17 92
18 118 39
19 6 26
49 109 29
49 116 65
37 90 14
118 128 60
97 116 65
55 37 82
137 128 91
20 18 37
37 107 38
90 148 92
32 133 48
30 127 81
122 95 74
97 102 61
142 86 45
16 138 56
82 35 54
26 8 85
107 9 18
110 76 18
22 29 21
52 107 91
6 113 65
108 27 95
43 59 40
73 72 76
67 99 53
121 129 42
144 31 60
110 12 51
24 101 23
68 70 7
106 26 9
77 31 79
137 4 57
119 136 38
6 103 85
121 91 57
27 101 38
13 3 67
22 115 51
18 147 13
129 69 97
69 119 26
102 140 11
98 120 16
23 104 62
119 103 8
51 35 40
126 8 75
129 138 14
13 137 82
105 3 39
117 74 88
68 126 19
54 72 33
15 123 42
2 26 72
14 133 44
82 27 63
144 54 74
117 43 60
15 95 60
99 144 36
52 144 61
108 116 62
68 149 90
2 113 42
44 130 86
29 82 21
23 90 73
131 98 78
129 145 34
87 36 2
41 58 88
89 42 84
50 122 5
